0,5,9,20
1,10,13,10
2,1,0,8
3,7,4,14
4,0,3,20
5,7,5,3
6,5,12,18
7,1,9,11
8,2,3,7
9,5,9,18
10,11,14,2
11,12,1,10
12,13,3,7
13,10,11,16
14,3,14,7
15,10,12,10
16,1,9,7
17,9,10,17
18,3,13,16
19,9,7,13
20,12,13,6
21,1,0,16
22,14,10,14
23,2,5,20
24,12,8,12
25,4,11,19
26,3,4,10
27,11,5,15
28,0,8,3
29,0,9,2
30,14,13,12
31,14,11,12
32,14,6,6
33,8,4,17
34,5,4,20
35,1,7,18
36,11,3,4
37,1,12,4
38,2,11,11
39,11,9,2
40,10,6,6
41,9,4,11
42,8,9,4
43,4,7,7
44,8,7,13
45,8,4,17
46,4,0,20
47,13,12,15
48,0,1,17
49,11,10,18
50,13,8,15
51,8,3,4
52,0,3,10
53,1,7,13
54,14,7,15
55,13,0,6
56,9,5,16
57,5,3,11
58,9,3,12
59,12,6,4
60,14,5,20
61,6,5,8
62,9,12,16
63,6,13,20
64,3,4,7
65,7,3,13
66,7,12,3
67,0,3,18
68,5,4,13
69,3,2,4
70,3,8,16
71,12,14,16
72,1,0,19
73,7,5,18
74,10,14,5
75,5,13,14
76,2,10,19
77,12,9,6
78,9,11,16
79,11,2,6
80,3,4,18
81,4,2,14
82,10,2,6
83,12,8,2
84,2,6,15
85,11,1,6
86,1,2,3
87,10,13,11
88,13,1,12
89,9,3,17
90,4,0,6
91,8,11,14
92,3,13,3
93,8,10,16
94,6,12,17
95,6,1,20
96,13,2,2
97,2,12,7
98,7,2,18
99,0,11,4
100,2,1,19
101,4,1,5
102,9,12,14
103,1,12,11
104,1,4,6
105,7,10,7
106,13,0,9
107,14,2,13
108,12,2,20
109,5,2,13
110,8,11,16
111,3,1,8
112,2,10,5
113,7,4,4
114,8,12,3
115,5,4,7
116,10,4,7
117,10,14,19
118,14,1,10
119,4,3,2
